,time,exp,func,param1,param2
314,114.128914,sort1,sorted(),1000000,10000
315,111.98648,sort1,sorted(),1000000,10000
316,111.58852,sort1,sorted(),1000000,10000
317,113.83649,sort1,sorted(),1000000,10000
318,115.03553,sort1,sorted(),1000000,10000
319,113.85393,sort1,sorted(),1000000,10000
320,111.80142,sort1,sorted(),1000000,10000
321,116.611824,sort1,sorted(),1000000,10000
322,113.27653,sort1,sorted(),1000000,10000
323,113.4068,sort1,sorted(),1000000,10000
324,112.91036,sort1,sorted(),1000000,10000
325,116.04205,sort1,sorted(),1000000,10000
326,113.14279,sort1,sorted(),1000000,10000
327,112.10629,sort1,sorted(),1000000,10000
328,111.23918,sort1,sorted(),1000000,10000
329,112.987625,sort1,sorted(),1000000,10000
330,114.99097,sort1,sorted(),1000000,10000
331,112.925644,sort1,sorted(),1000000,10000
332,113.48345,sort1,sorted(),1000000,10000
333,113.05679,sort1,sorted(),1000000,10000
334,114.89927,sort1,sorted(),1000000,10000
335,116.772285,sort1,sorted(),1000000,10000
336,111.800514,sort1,sorted(),1000000,10000
337,111.98195,sort1,sorted(),1000000,10000
338,114.45761,sort1,sorted(),1000000,10000
339,116.76048,sort1,sorted(),1000000,10000
340,115.32304,sort1,sorted(),1000000,10000
341,122.5909,sort1,sorted(),1000000,10000
342,112.141235,sort1,sorted(),1000000,10000
343,114.8805,sort1,sorted(),1000000,10000
344,118.22907,sort1,sorted(),1000000,10000
345,109.99282,sort1,sorted(),1000000,10000
346,113.181305,sort1,sorted(),1000000,10000
347,114.94855,sort1,sorted(),1000000,10000
348,112.49153,sort1,sorted(),1000000,10000
349,112.89424,sort1,sorted(),1000000,10000
350,112.53232,sort1,sorted(),1000000,10000
351,112.94941,sort1,sorted(),1000000,10000
352,114.266335,sort1,sorted(),1000000,10000
353,118.05807,sort1,sorted(),1000000,10000
354,111.172554,sort1,sorted(),1000000,10000
355,113.47368,sort1,sorted(),1000000,10000
356,116.76022,sort1,sorted(),1000000,10000
357,114.75869,sort1,sorted(),1000000,10000
358,117.41434,sort1,sorted(),1000000,10000
359,112.058174,sort1,sorted(),1000000,10000
360,114.64012,sort1,sorted(),1000000,10000
361,116.11274,sort1,sorted(),1000000,10000
362,127.172844,sort1,sorted(),1000000,10000
363,113.44465,sort1,sorted(),1000000,10000
364,113.874855,sort1,sorted(),1000000,10000
365,114.76673,sort1,sorted(),1000000,10000
366,113.94177,sort1,sorted(),1000000,10000
367,114.70394,sort1,sorted(),1000000,10000
368,112.99355,sort1,sorted(),1000000,10000
369,115.51066,sort1,sorted(),1000000,10000
370,137.50441,sort1,sorted(),1000000,10000
371,117.89334,sort1,sorted(),1000000,10000
372,104.922035,sort1,sorted(),1000000,10000
373,109.69965,sort1,sorted(),1000000,10000
374,117.7013,sort1,sorted(),1000000,10000
375,110.565575,sort1,sorted(),1000000,10000
376,131.31105,sort1,sorted(),1000000,10000
377,111.831116,sort1,sorted(),1000000,10000
378,116.32997,sort1,sorted(),1000000,10000
379,115.66031,sort1,sorted(),1000000,10000
380,110.040665,sort1,sorted(),1000000,10000
381,112.40834,sort1,sorted(),1000000,10000
382,116.90711,sort1,sorted(),1000000,10000
383,112.90561,sort1,sorted(),1000000,10000
384,112.39821,sort1,sorted(),1000000,10000
385,112.793945,sort1,sorted(),1000000,10000
386,115.39365,sort1,sorted(),1000000,10000
387,122.4711,sort1,sorted(),1000000,10000
388,114.96676,sort1,sorted(),1000000,10000
389,114.05575,sort1,sorted(),1000000,10000
390,110.39707,sort1,sorted(),1000000,10000
391,115.725136,sort1,sorted(),1000000,10000
392,118.49059,sort1,sorted(),1000000,10000
393,109.08768,sort1,sorted(),1000000,10000
394,128.45161,sort1,sorted(),1000000,10000
395,109.10112,sort1,sorted(),1000000,10000
396,118.77725,sort1,sorted(),1000000,10000
